lengde,brede,moh,tid
59.8927,10.51771,13,0.0
59.89271,10.51751,13,11.67741935483871
59.89276,10.5174,13,23.35483870967742
59.89316,10.51727,13,35.03225806451613
59.89347,10.51727,13,46.70967741935484
59.89367,10.51732,13,58.38709677419355
59.89384,10.51743,10,70.06451612903226
59.89401,10.51766,10,81.74193548387098
59.89443,10.5184,10,93.41935483870968
59.89464,10.51862,10,105.09677419354838
59.89489,10.51874,10,116.7741935483871
59.89543,10.5184,10,128.45161290322582
59.8956,10.51814,10,140.1290322580645
59.89602,10.51776,32,151.80645161290323
59.8961,10.51761,32,163.48387096774195
59.89621,10.51759,32,175.16129032258064
59.89642,10.51797,32,186.83870967741936
59.89648,10.51819,32,198.51612903225808
59.89664,10.51854,32,210.19354838709677
59.89675,10.51866,32,221.8709677419355
59.89687,10.51907,16,233.5483870967742
59.897,10.5193,16,245.2258064516129
59.8971,10.5197,16,256.90322580645164
59.89716,10.52037,16,268.5806451612903
59.89733,10.5204,16,280.258064516129
59.89744,10.52056,16,291.93548387096774
59.89762,10.52056,16,303.61290322580646
59.89781,10.52053,16,315.2903225806452
59.89805,10.52034,41,326.9677419354839
59.89819,10.52031,41,338.64516129032256
59.89825,10.52038,41,350.3225806451613
59.8983,10.52059,41,362.0
59.89848,10.5207,41,373.6774193548387
59.89865,10.52072,41,385.35483870967744
59.89876,10.52062,41,397.03225806451616
59.89884,10.5202,41,408.7096774193549
59.89899,10.51991,41,420.38709677419354
59.89919,10.5196,41,432.06451612903226
59.89943,10.51959,41,443.741935483871
59.89956,10.51931,41,455.4193548387097
59.89969,10.51922,41,467.0967741935484
59.89972,10.51908,41,478.77419354838713
59.89994,10.51903,41,490.4516129032258
59.90008,10.51892,75,502.1290322580645
59.90033,10.51883,75,513.8064516129033
59.90043,10.5187,85,525.483870967742
59.90064,10.51853,85,537.1612903225806
59.90071,10.51832,85,548.8387096774194
59.90084,10.51838,85,560.516129032258
59.90106,10.5181,85,572.1935483870968
59.90132,10.51791,85,583.8709677419355
59.90155,10.51768,85,595.5483870967743
59.90168,10.51739,85,607.2258064516129
59.90191,10.5167,85,618.9032258064516
59.90199,10.5159,89,630.5806451612904
59.90199,10.51558,89,642.258064516129
59.90248,10.51461,83,653.9354838709678
59.90267,10.51429,80,665.6129032258065
59.90278,10.51431,80,677.2903225806451
59.90292,10.5146,83,688.9677419354839
59.90303,10.51465,83,700.6451612903226
59.90372,10.51457,80,712.3225806451613
59.90423,10.51443,70,724.0
59.90446,10.51444,70,735.6774193548388
59.90518,10.514,70,747.3548387096774
59.90553,10.51384,70,759.0322580645161
59.90587,10.51354,70,770.7096774193549
59.90623,10.51335,70,782.3870967741935
59.90663,10.51327,73,794.0645161290323
59.90703,10.51339,73,805.741935483871
59.90734,10.51315,73,817.4193548387098
59.90752,10.5133,73,829.0967741935484
59.9076,10.51322,73,840.7741935483871
59.90766,10.51308,73,852.4516129032259
59.90804,10.51288,73,864.1290322580645
59.90817,10.51285,73,875.8064516129033
59.90836,10.51307,65,887.483870967742
59.90883,10.51389,65,899.1612903225806
59.90908,10.51425,65,910.8387096774194
59.90909,10.51421,65,922.516129032258
59.9091,10.51439,65,934.1935483870968
59.90928,10.51442,65,945.8709677419355
59.90916,10.51432,65,957.5483870967743
59.90913,10.51437,65,969.2258064516129
59.90919,10.51462,69,980.9032258064516
59.90955,10.51525,69,992.5806451612904
59.90994,10.51585,69,1004.258064516129
59.91017,10.51604,69,1015.9354838709678
59.91067,10.51614,84,1027.6129032258066
59.91123,10.51675,89,1039.2903225806451
59.91133,10.51698,89,1050.967741935484
59.91152,10.51796,89,1062.6451612903227
59.91181,10.5191,94,1074.3225806451612
59.91192,10.51965,94,1086.0
59.91203,10.52029,94,1097.6774193548388
59.91213,10.52031,94,1109.3548387096776
59.91218,10.52026,94,1121.032258064516
59.91225,10.51976,94,1132.7096774193549
59.91244,10.51934,94,1144.3870967741937
59.91257,10.51922,145,1156.0645161290322
59.91274,10.51918,145,1167.741935483871
59.91281,10.51925,145,1179.4193548387098
59.91281,10.51936,145,1191.0967741935485
59.91291,10.51966,145,1202.774193548387
59.91309,10.51995,145,1214.4516129032259
59.91371,10.52061,145,1226.1290322580646
59.91386,10.5209,140,1237.8064516129032
59.91422,10.52089,140,1249.483870967742
59.91437,10.52069,145,1261.1612903225807
59.91435,10.52023,145,1272.8387096774193
59.91441,10.51994,145,1284.516129032258
59.91446,10.51908,145,1296.1935483870968
59.91458,10.51887,145,1307.8709677419356
59.91473,10.51898,197,1319.5483870967741
59.91481,10.51911,197,1331.225806451613
59.91496,10.51918,197,1342.9032258064517
59.91503,10.51931,197,1354.5806451612902
59.91515,10.51937,197,1366.258064516129
59.9152,10.51953,197,1377.9354838709678
59.91536,10.51973,197,1389.6129032258066
59.91547,10.51996,197,1401.2903225806451
59.91591,10.51994,197,1412.967741935484
59.91596,10.52004,197,1424.6451612903227
59.91602,10.52032,197,1436.3225806451612
59.91627,10.52069,197,1448.0
59.91656,10.52072,197,1459.6774193548388
59.91681,10.52094,208,1471.3548387096776
59.91698,10.5209,208,1483.032258064516
59.91706,10.52077,263,1494.7096774193549
59.91705,10.52055,263,1506.3870967741937
59.91711,10.5204,263,1518.0645161290322
59.91699,10.52009,263,1529.741935483871
59.91673,10.5195,263,1541.4193548387098
59.91662,10.5193,197,1553.0967741935485
59.91661,10.51903,197,1564.774193548387
59.91672,10.51917,263,1576.4516129032259
59.9169,10.51918,263,1588.1290322580646
59.91699,10.51925,263,1599.8064516129032
59.9171,10.51914,263,1611.483870967742
59.9172,10.51931,263,1623.1612903225807
59.91727,10.51926,263,1634.8387096774195
59.91737,10.51897,263,1646.516129032258
59.91742,10.51896,263,1658.1935483870968
59.91743,10.51887,263,1669.8709677419356
59.91747,10.5189,263,1681.5483870967741
59.91747,10.51896,263,1693.225806451613
59.91754,10.51908,263,1704.9032258064517
59.91765,10.51913,263,1716.5806451612905
59.91774,10.51909,263,1728.258064516129
59.91779,10.519,263,1739.9354838709678
59.91799,10.51902,263,1751.6129032258066
59.91806,10.51891,263,1763.2903225806451
59.91813,10.51889,263,1774.967741935484
59.91824,10.51842,291,1786.6451612903227
59.91822,10.51822,291,1798.3225806451612
59.91827,10.51788,291,1810.0
59.91824,10.51771,291,1821.6774193548388
59.91826,10.51747,291,1833.3548387096776
59.91813,10.5171,291,1845.032258064516
59.9179,10.51685,291,1856.7096774193549
59.91782,10.51664,290,1868.3870967741937
59.91771,10.51652,290,1880.0645161290322
59.91777,10.51649,290,1891.741935483871
59.9178,10.51656,290,1903.4193548387098
59.91784,10.5164,290,1915.0967741935485
59.91794,10.51638,290,1926.774193548387
59.91799,10.51627,290,1938.4516129032259
59.91798,10.51609,290,1950.1290322580646
59.91805,10.51607,290,1961.8064516129032
59.91785,10.51606,290,1973.483870967742
59.91786,10.51596,290,1985.1612903225807
59.91789,10.51602,290,1996.8387096774195
59.91779,10.51617,290,2008.516129032258
59.91795,10.51609,290,2020.1935483870968
59.91796,10.51615,290,2031.8709677419356
59.91801,10.51611,290,2043.5483870967741
59.91804,10.51621,290,2055.225806451613
59.91798,10.51632,290,2066.9032258064517
59.91803,10.51629,290,2078.5806451612902
59.91788,10.51633,290,2090.2580645161293
59.91807,10.51626,290,2101.935483870968
59.91802,10.51616,290,2113.6129032258063
59.91809,10.51623,290,2125.2903225806454
59.91807,10.51627,290,2136.967741935484
59.91816,10.51617,290,2148.6451612903224
